06/01/2021,Isaiah 1-2
06/02/2021,Isaiah 3-5
06/03/2021,Isaiah 6-7
06/04/2021,Isaiah 8-10
06/05/2021,Isaiah 11-13
06/06/2021,Isaiah 14-16
06/07/2021,Isaiah 17-19
06/08/2021,Isaiah 20-22
06/09/2021,Isaiah 23-25
06/10/2021,Isaiah 26-27
06/11/2021,Isaiah 28-30
06/12/2021,Isaiah 31-32
06/13/2021,Isaiah 33-35
06/14/2021,Isaiah 36-38
06/15/2021,Isaiah 39-41
06/16/2021,Isaiah 42-44
06/17/2021,Isaiah 45-47
06/18/2021,Isaiah 48-50
06/19/2021,Isaiah 51-52
06/20/2021,Isaiah 53-55
06/21/2021,Isaiah 56-57
06/22/2021,Isaiah 58-60
06/23/2021,Isaiah 61-63
06/24/2021,Isaiah 64-66
06/25/2021,Jeremiah 1-3
06/26/2021,Jeremiah 4-6
06/27/2021,Jeremiah 7-9
06/28/2021,Jeremiah 10-11
06/29/2021,Jeremiah 12-14
06/30/2021,Jeremiah 15-16
07/01/2021,Jeremiah 17-19
07/02/2021,Jeremiah 20-22
07/03/2021,Jeremiah 23-25
07/04/2021,Jeremiah 26-28
07/05/2021,Jeremiah 29-31
07/06/2021,Jeremiah 32-34
07/07/2021,Jeremiah 35-36
07/08/2021,Jeremiah 37-39
07/09/2021,Jeremiah 40-41
07/10/2021,Jeremiah 42-44
07/11/2021,Jeremiah 45-47
07/12/2021,Jeremiah 48-50
07/13/2021,Jeremiah 51-52; Lamentations 1
07/14/2021,Lamentations 2-4
07/15/2021,Lamentations 5; Ezekiel 1-2
07/16/2021,Ezekiel 3-4
07/17/2021,Ezekiel 5-7
07/18/2021,Ezekiel 8-9
07/19/2021,Ezekiel 10-12
07/20/2021,Ezekiel 13-15
07/21/2021,Ezekiel 16-18
07/22/2021,Ezekiel 19-21
07/23/2021,Ezekiel 22-24
07/24/2021,Ezekiel 25-27
07/25/2021,Ezekiel 28-29
07/26/2021,Ezekiel 30-32
07/27/2021,Ezekiel 33-34
07/28/2021,Ezekiel 35-37
07/29/2021,Ezekiel 38-40
07/30/2021,Ezekiel 41-43
07/31/2021,Ezekiel 44-46
08/01/2021,Ezekiel 47-48; Daniel 1
08/02/2021,Daniel 2-4
08/03/2021,Daniel 5-6
08/04/2021,Daniel 7-9
08/05/2021,Daniel 10-11
08/06/2021,Daniel 12; Hosea 1-2
08/07/2021,Hosea 3-5
08/08/2021,Hosea 6-8
08/09/2021,Hosea 9-11
08/10/2021,Hosea 12-14
08/11/2021,Joel 1-3
08/12/2021,Amos 1-2
08/13/2021,Amos 3-5
08/14/2021,Amos 6-7
08/15/2021,Amos 8-9; Obadiah 1
08/16/2021,Jonah 1-3
08/17/2021,Jonah 4; Micah 1-2
08/18/2021,Micah 3-5
08/19/2021,Micah 6-7; Nahum 1
08/20/2021,Nahum 2-3; Habakkuk 1
08/21/2021,Habakkuk 2-3
08/22/2021,Zephaniah 1-3
08/23/2021,Haggai 1-2
08/24/2021,Zechariah 1-3
08/25/2021,Zechariah 4-6
08/26/2021,Zechariah 7-9
08/27/2021,Zechariah 10-12
08/28/2021,Zechariah 13-14; Malachi 1
08/29/2021,Malachi 2-4
